OBJECTID,x,y,ok0,max,max_timestamp
1,112.963874,22.52969,0,0,14000
1,112.863874,22.32969,0,0,14000
1,112.643874,21.70969,0,0,14000
1,112.843874,21.72969,0,0,14000
1,112.743874,22.28969,0,0,14000
1,112.123874,22.20969,0,0,14000
1,112.243874,22.06969,0,0,14000
1,112.543874,21.86969,0,0,14000
1,112.663874,22.30969,0,0,14000
1,112.523874,21.78969,0,0,14000
1,112.603874,22.24969,0,0,14000
1,112.743874,22.16969,0,0,14000
1,112.903874,21.56969,0,0,14000
1,112.923874,22.14969,0,0,14000
1,112.643874,21.98969,0,0,14000
1,112.743874,22.52969,0,0,14000
1,112.583874,22.04969,0,0,14000
1,112.783874,22.56969,0,0,14000
1,112.383874,22.50969,0,0,14000
1,112.983874,22.70969,0,0,14000
1,112.123874,22.30969,0,0,14000
1,112.283874,22.14969,0,0,14000
1,112.723874,22.66969,0,0,14000
1,113.083874,22.60969,0,0,14000
1,112.843874,22.00969,0,0,14000
1,112.883874,22.22969,0,0,14000
1,112.483874,21.72969,0,0,14000
1,112.703874,22.52969,0,0,14000
1,112.923874,22.76969,0,0,14000
1,112.643874,21.94969,0,0,14000
1,112.783874,22.20969,0,0,14000
1,112.603874,21.58969,0,0,14000
1,112.943874,21.62969,0,0,14000
1,112.423874,21.88969,0,0,14000
1,113.023874,22.10969,0,0,14000
1,112.903874,22.46969,0,0,14000
1,112.423874,22.62969,0,0,14000
1,112.523874,22.72969,0,0,14000
1,112.483874,21.54969,0,0,14000
1,112.923874,22.08969,0,0,14000
1,112.923874,21.86969,0,0,14000
1,113.023874,21.94969,0,0,14000
1,113.063874,21.92969,0,0,14000
1,112.963874,22.46969,0,0,14000
1,112.983874,22.78969,0,0,14000
1,112.303874,22.06969,0,0,14000
1,112.283874,22.24969,0,0,14000
1,112.903874,21.70969,0,0,14000
1,112.763874,21.86969,0,0,14000
1,112.963874,21.96969,0,0,14000
1,112.263874,22.42969,0,0,14000
1,112.743874,22.06969,0,0,14000
1,112.683874,22.16969,0,0,14000
1,112.383874,21.64969,0,0,14000
1,112.803874,22.16969,0,0,14000
1,112.983874,22.26969,0,0,14000
1,112.863874,22.52969,0,0,14000
1,112.823874,21.70969,0,0,14000
1,112.923874,21.88969,0,0,14000
1,112.543874,22.24969,0,0,14000
1,112.723874,22.58969,0,0,14000
1,112.423874,22.58969,0,0,14000
1,112.123874,22.24969,0,0,14000
1,112.623874,22.60969,0,0,14000
1,112.963874,21.92969,0,0,14000
1,112.083874,22.14969,0,0,14000
1,112.843874,22.68969,0,0,14000
1,112.663874,22.42969,0,0,14000
1,113.003874,22.30969,0,0,14000
1,112.563874,22.14969,0,0,14000
1,113.063874,21.94969,0,0,14000
1,113.083874,22.22969,0,0,14000
1,112.283874,22.42969,0,0,14000
1,112.623874,22.10969,0,0,14000
1,112.463874,21.54969,0,0,14000
1,113.063874,22.24969,0,0,14000
1,112.323874,22.52969,0,0,14000
1,112.623874,21.94969,0,0,14000
1,112.443874,22.00969,0,0,14000
1,112.783874,22.16969,0,0,14000
1,112.683874,22.52969,0,0,14000
1,112.603874,21.98969,0,0,14000
1,112.963874,21.70969,0,0,14000
1,112.603874,22.20969,0,0,14000
1,112.903874,21.86969,0,0,14000
1,112.943874,21.60969,0,0,14000
1,113.043874,21.76969,0,0,14000
1,112.343874,21.58969,0,0,14000
1,113.003874,22.22969,0,0,14000
1,112.663874,22.34969,0,0,14000
1,112.403874,22.00969,0,0,14000
1,112.443874,22.60969,0,0,14000
1,112.163874,22.34969,0,0,14000
1,112.463874,21.50969,0,0,14000
1,112.923874,21.62969,0,0,14000
1,112.683874,22.64969,0,0,14000
1,112.983874,22.56969,0,0,14000
1,112.423874,21.90969,0,0,14000
1,113.163874,22.48969,0,0,14000
1,113.063874,22.12969,0,0,14000
1,113.103874,22.54969,0,0,14000
1,112.483874,21.62969,0,0,14000
1,112.323874,22.08969,0,0,14000
1,112.703874,21.60969,0,0,14000
1,112.483874,22.06969,0,0,14000
1,112.423874,22.00969,0,0,14000
1,112.783874,22.26969,0,0,14000
1,112.783874,21.60969,0,0,14000
1,112.403874,21.96969,0,0,14000
1,113.023874,22.12969,0,0,14000
1,112.803874,21.62969,0,0,14000
1,112.503874,21.72969,0,0,14000
1,112.343874,22.08969,0,0,14000
1,112.863874,21.60969,0,0,14000
1,112.823874,21.60969,0,0,14000
1,112.563874,21.94969,0,0,14000
1,112.243874,22.36969,0,0,14000
1,112.403874,22.16969,0,0,14000
1,112.583874,21.92969,0,0,14000
1,112.323874,21.62969,0,0,14000
1,112.783874,22.36969,0,0,14000
1,112.743874,22.58969,0,0,14000
1,112.643874,22.18969,0,0,14000
1,112.623874,21.62969,0,0,14000
1,112.663874,22.12969,0,0,14000
1,112.983874,21.80969,0,0,14000
1,112.603874,21.92969,0,0,14000
1,112.943874,22.08969,0,0,14000
1,112.363874,22.12969,0,0,14000
1,112.563874,21.98969,0,0,14000
1,112.823874,22.36969,0,0,14000
1,112.863874,22.50969,0,0,14000
1,112.883874,21.70969,0,0,14000
1,112.383874,21.56969,0,0,14000
1,112.403874,22.54969,0,0,14000
1,112.923874,22.30969,0,0,14000
1,112.843874,21.58969,0,0,14000
1,113.063874,21.84969,0,0,14000
1,112.323874,22.30969,0,0,14000
1,112.183874,22.08969,0,0,14000
1,112.643874,21.62969,0,0,14000
1,112.643874,22.22969,0,0,14000
1,112.803874,21.60969,0,0,14000
1,112.363874,21.92969,0,0,14000
1,112.563874,21.74969,0,0,14000
1,112.083874,22.28969,0,0,14000
1,113.063874,22.04969,0,0,14000
1,112.843874,22.58969,0,0,14000
1,112.643874,22.64969,0,0,14000
1,112.523874,21.94969,0,0,14000
1,112.403874,21.94969,0,0,14000
1,112.783874,21.68969,0,0,14000
1,113.103874,22.38969,0,0,14000
1,112.363874,21.98969,0,0,14000
1,112.623874,21.56969,0,0,14000
1,112.623874,22.24969,0,0,14000
1,113.023874,22.48969,0,0,14000
1,112.763874,22.58969,0,0,14000
1,113.123874,22.68969,0,0,14000
1,112.843874,21.80969,0,0,14000
1,112.103874,22.26969,0,0,14000
1,112.443874,22.52969,0,0,14000
1,112.363874,22.04969,0,0,14000
1,112.763874,22.50969,0,0,14000
1,112.823874,21.66969,0,0,14000
1,112.203874,22.34969,0,0,14000
1,112.223874,22.24969,0,0,14000
1,112.863874,22.18969,0,0,14000
1,112.743874,21.84969,0,0,14000
1,112.663874,22.02969,0,0,14000
1,112.863874,21.88969,0,0,14000
1,113.043874,22.74969,0,0,14000
1,112.823874,21.76969,0,0,14000
1,112.423874,21.78969,0,0,14000
1,112.303874,22.30969,0,0,14000
1,112.443874,22.42969,0,0,14000
1,112.803874,22.14969,0,0,14000
1,112.603874,21.56969,0,0,14000
1,112.403874,22.14969,0,0,14000
1,113.003874,22.06969,0,0,14000
1,112.963874,22.40969,0,0,14000
1,112.443874,22.30969,0,0,14000
1,112.743874,21.58969,0,0,14000
1,112.723874,22.38969,0,0,14000
1,113.143874,22.64969,0,0,14000
1,112.983874,22.58969,0,0,14000
1,112.603874,21.94969,0,0,14000
1,112.803874,22.34969,0,0,14000
1,112.823874,22.00969,0,0,14000
1,112.823874,22.54969,0,0,14000
1,112.963874,21.76969,0,0,14000
1,112.503874,22.50969,0,0,14000
1,112.183874,22.30969,0,0,14000
1,112.843874,21.88969,0,0,14000
1,113.143874,22.40969,0,0,14000
1,112.903874,22.64969,0,0,14000
1,112.503874,21.86969,0,0,14000
1,112.523874,22.24969,0,0,14000
1,112.743874,22.56969,0,0,14000
1,112.583874,21.94969,0,0,14000
1,112.183874,22.12969,0,0,14000
1,113.043874,21.78969,0,0,14000
1,113.103874,22.48969,0,0,14000
1,112.603874,21.78969,0,0,14000
1,112.363874,22.06969,0,0,14000
1,112.423874,21.84969,0,0,14000
1,112.263874,22.10969,0,0,14000
1,112.603874,22.12969,0,0,14000
1,112.443874,21.50969,0,0,14000
1,112.443874,21.78969,0,0,14000
1,112.803874,21.86969,0,0,14000
1,113.023874,22.16969,0,0,14000
1,112.543874,22.08969,0,0,14000
1,112.803874,21.90969,0,0,14000
1,112.863874,22.34969,0,0,14000
1,112.123874,22.28969,0,0,14000
1,112.323874,22.44969,0,0,14000
1,112.923874,22.74969,0,0,14000
1,113.043874,22.64969,0,0,14000
1,112.823874,21.56969,0,0,14000
1,112.743874,22.42969,0,0,14000
1,112.543874,21.82969,0,0,14000
1,112.523874,21.56969,0,0,14000
1,113.163874,22.58969,0,0,14000
1,112.563874,22.34969,0,0,14000
1,112.503874,22.14969,0,0,14000
1,112.323874,22.36969,0,0,14000
1,112.363874,21.66969,0,0,14000
1,112.103874,22.32969,0,0,14000
1,112.663874,21.88969,0,0,14000
1,112.963874,22.58969,0,0,14000
1,112.863874,22.38969,0,0,14000
1,112.323874,21.66969,0,0,14000
1,112.983874,22.68969,0,0,14000
1,112.743874,21.82969,0,0,14000
1,112.923874,22.80969,0,0,14000
1,112.843874,21.94969,0,0,14000
1,112.803874,22.10969,0,0,14000
1,112.423874,22.44969,0,0,14000
1,112.643874,22.54969,0,0,14000
1,112.763874,21.92969,0,0,14000
1,112.723874,21.98969,0,0,14000
1,112.423874,22.20969,0,0,14000
1,112.583874,22.32969,0,0,14000
1,112.863874,21.94969,0,0,14000
1,112.723874,22.42969,0,0,14000
1,113.023874,22.24969,0,0,14000
1,112.743874,22.60969,0,0,14000
1,112.423874,22.56969,0,0,14000
1,112.903874,22.52969,0,0,14000
1,112.503874,21.84969,0,0,14000
1,112.323874,22.22969,0,0,14000
1,112.803874,22.02969,0,0,14000
1,112.603874,22.18969,0,0,14000
1,112.283874,22.30969,0,0,14000
1,112.563874,21.86969,0,0,14000
1,112.843874,22.28969,0,0,14000
1,112.683874,21.66969,0,0,14000
1,112.683874,22.08969,0,0,14000
1,112.783874,21.66969,0,0,14000
1,112.943874,22.76969,0,0,14000
1,113.023874,22.34969,0,0,14000
1,112.903874,22.14969,0,0,14000
1,113.023874,22.78969,0,0,14000
1,112.803874,22.22969,0,0,14000
1,113.023874,22.22969,0,0,14000
1,112.863874,21.68969,0,0,14000
1,112.663874,22.60969,0,0,14000
1,113.183874,22.42969,0,0,14000
1,113.163874,22.24969,0,0,14000
1,112.463874,21.78969,0,0,14000
1,112.583874,22.22969,0,0,14000
1,112.843874,22.70969,0,0,14000
1,112.863874,22.30969,0,0,14000
1,112.923874,21.76969,0,0,14000
1,112.383874,21.60969,0,0,14000
1,112.663874,21.90969,0,0,14000
1,112.803874,21.78969,0,0,14000
1,112.423874,22.34969,0,0,14000
1,112.523874,22.50969,0,0,14000
1,113.063874,22.60969,0,0,14000
1,112.623874,22.70969,0,0,14000
1,112.823874,21.68969,0,0,14000
1,113.163874,22.34969,0,0,14000
1,112.083874,22.24969,0,0,14000
1,112.803874,21.76969,0,0,14000
1,112.883874,21.58969,0,0,14000
1,112.583874,22.08969,0,0,14000
1,112.623874,22.18969,0,0,14000
1,112.723874,22.08969,0,0,14000
1,113.123874,22.40969,0,0,14000
1,112.543874,22.06969,0,0,14000
1,112.923874,22.64969,0,0,14000
1,112.923874,21.94969,0,0,14000
1,113.043874,22.70969,0,0,14000
1,112.503874,22.72969,0,0,14000
1,112.463874,22.50969,0,0,14000
1,112.403874,22.50969,0,0,14000
1,112.763874,22.24969,0,0,14000
1,112.823874,22.58969,0,0,14000
1,113.023874,22.18969,0,0,14000
1,112.383874,21.92969,0,0,14000
1,112.983874,22.18969,0,0,14000
1,112.983874,22.42969,0,0,14000
1,113.043874,22.32969,0,0,14000
1,112.743874,22.02969,0,0,14000
1,112.823874,21.82969,0,0,14000
1,113.103874,22.52969,0,0,14000
1,112.303874,22.20969,0,0,14000
1,113.123874,22.42969,0,0,14000
1,112.383874,21.68969,0,0,14000
1,112.523874,22.52969,0,0,14000
1,113.203874,22.52969,0,0,14000
1,113.023874,21.80969,0,0,14000
1,112.743874,22.50969,0,0,14000
1,112.523874,22.30969,0,0,14000
1,112.523874,22.22969,0,0,14000
1,112.663874,22.08969,0,0,14000
1,113.023874,22.56969,0,0,14000
1,112.903874,22.26969,0,0,14000
1,112.863874,21.92969,0,0,14000
1,112.843874,22.62969,0,0,14000
1,112.563874,22.00969,0,0,14000
1,112.823874,22.56969,0,0,14000
1,113.023874,22.28969,0,0,14000
1,112.643874,21.92969,0,0,14000
1,112.883874,22.76969,0,0,14000
1,112.583874,21.70969,0,0,14000
1,112.323874,21.98969,0,0,14000
1,113.243874,22.40969,0,0,14000
1,112.623874,21.86969,0,0,14000
1,112.903874,21.68969,0,0,14000
1,112.443874,21.98969,0,0,14000
1,112.583874,22.26969,0,0,14000
1,113.043874,21.80969,0,0,14000
1,112.363874,21.56969,0,0,14000
1,112.883874,22.50969,0,0,14000
1,112.923874,21.68969,0,0,14000
1,112.803874,22.06969,0,0,14000
1,113.103874,22.58969,0,0,14000
1,112.443874,21.54969,0,0,14000
1,112.683874,22.66969,0,0,14000
1,112.383874,21.90969,0,0,14000
1,112.443874,21.68969,0,0,14000
1,113.063874,22.02969,0,0,14000
1,113.103874,22.50969,0,0,14000
1,112.483874,22.10969,0,0,14000
1,112.463874,22.26969,0,0,14000
1,112.563874,21.88969,0,0,14000
1,112.343874,22.42969,0,0,14000
1,112.963874,22.16969,0,0,14000
1,113.003874,22.34969,0,0,14000
1,112.683874,22.30969,0,0,14000
1,112.863874,22.78969,0,0,14000
1,112.603874,22.00969,0,0,14000
1,112.523874,22.06969,0,0,14000
1,113.203874,22.48969,0,0,14000
1,112.383874,22.52969,0,0,14000
1,112.663874,22.54969,0,0,14000
1,112.863874,21.84969,0,0,14000
1,112.943874,21.70969,0,0,14000
1,112.783874,22.50969,0,0,14000
1,112.523874,21.80969,0,0,14000
1,112.723874,21.78969,0,0,14000
1,113.163874,22.42969,0,0,14000
1,113.063874,21.96969,0,0,14000
1,112.803874,22.52969,0,0,14000
1,112.503874,21.92969,0,0,14000
1,112.223874,22.20969,0,0,14000
1,112.323874,22.50969,0,0,14000
1,113.063874,22.74969,0,0,14000
1,112.423874,22.50969,0,0,14000
1,112.383874,21.50969,0,0,14000
1,112.763874,22.16969,0,0,14000
1,112.563874,22.44969,0,0,14000
1,112.263874,22.44969,0,0,14000
1,112.843874,21.66969,0,0,14000
1,112.383874,21.66969,0,0,14000
1,113.003874,22.16969,0,0,14000
1,112.343874,21.98969,0,0,14000
1,112.403874,22.28969,0,0,14000
1,112.503874,22.56969,0,0,14000
1,113.183874,22.52969,0,0,14000
1,112.723874,21.80969,0,0,14000
1,112.443874,22.34969,0,0,14000
1,113.023874,21.84969,0,0,14000
1,112.343874,22.24969,0,0,14000
1,112.823874,21.58969,0,0,14000
1,112.583874,22.64969,0,0,14000
1,112.443874,21.60969,0,0,14000
1,112.743874,21.92969,0,0,14000
1,112.263874,22.20969,0,0,14000
1,112.703874,22.74969,0,0,14000
1,113.023874,22.20969,0,0,14000
1,112.903874,22.08969,0,0,14000
1,112.443874,21.66969,0,0,14000
1,112.383874,22.08969,0,0,14000
1,112.883874,22.52969,0,0,14000
1,113.063874,22.16969,0,0,14000
1,113.223874,22.42969,0,0,14000
1,112.483874,22.42969,0,0,14000
1,112.403874,21.54969,0,0,14000
1,113.083874,22.38969,0,0,14000
1,112.883874,21.84969,0,0,14000
1,112.363874,21.74969,0,0,14000
1,112.343874,22.26969,0,0,14000
1,112.903874,22.72969,0,0,14000
1,112.663874,22.28969,0,0,14000
1,112.883874,21.82969,0,0,14000
1,112.983874,22.50969,0,0,14000
1,112.663874,22.18969,0,0,14000
1,112.603874,22.36969,0,0,14000
1,112.763874,22.28969,0,0,14000
1,112.683874,22.12969,0,0,14000
1,112.783874,22.28969,0,0,14000
1,112.563874,21.78969,0,0,14000
1,112.543874,22.34969,0,0,14000
1,113.203874,22.40969,0,0,14000
1,112.343874,21.68969,0,0,14000
1,112.503874,21.58969,0,0,14000
1,112.563874,21.80969,0,0,14000
1,112.463874,22.06969,0,0,14000
1,112.543874,22.60969,0,0,14000
1,112.323874,21.54969,0,0,14000
1,113.143874,22.50969,0,0,14000
1,112.583874,21.68969,0,0,14000
1,113.063874,22.36969,0,0,14000
1,112.683874,22.60969,0,0,14000
1,112.663874,22.24969,0,0,14000
1,112.503874,22.02969,0,0,14000
1,112.343874,22.34969,0,0,14000
1,112.783874,22.02969,0,0,14000
1,112.523874,22.28969,0,0,14000
1,112.823874,22.64969,0,0,14000
1,112.663874,21.80969,0,0,14000
1,112.723874,22.22969,0,0,14000
1,112.683874,22.38969,0,0,14000
1,112.303874,22.50969,0,0,14000
1,112.523874,22.10969,0,0,14000
1,113.003874,22.04969,0,0,14000
1,112.743874,22.30969,0,0,14000
1,113.003874,22.76969,0,0,14000
1,113.043874,22.60969,0,0,14000
1,113.043874,22.00969,0,0,14000
1,112.783874,22.34969,0,0,14000
1,112.703874,22.62969,0,0,14000
1,113.123874,22.64969,0,0,14000
1,112.523874,21.96969,0,0,14000
1,112.963874,22.42969,0,0,14000
1,112.203874,22.32969,0,0,14000
1,112.843874,21.96969,0,0,14000
1,112.723874,22.34969,0,0,14000
1,112.763874,21.76969,0,0,14000
1,112.403874,21.52969,0,0,14000
1,112.683874,21.70969,0,0,14000
1,112.903874,22.78969,0,0,14000
1,112.583874,22.50969,0,0,14000
1,112.903874,21.80969,0,0,14000
1,112.503874,22.42969,0,0,14000
1,113.043874,22.36969,0,0,14000
1,113.003874,22.14969,0,0,14000
1,112.503874,21.70969,0,0,14000
1,112.663874,21.68969,0,0,14000
1,112.503874,21.54969,0,0,14000
1,112.663874,21.58969,0,0,14000
1,112.983874,22.66969,0,0,14000
1,112.703874,22.60969,0,0,14000
1,112.703874,21.92969,0,0,14000
1,112.243874,22.14969,0,0,14000
1,112.343874,21.52969,0,0,14000
1,112.943874,22.26969,0,0,14000
1,112.043874,22.22969,0,0,14000
1,112.363874,22.54969,0,0,14000
1,113.083874,22.18969,0,0,14000
1,112.363874,21.58969,0,0,14000
1,112.403874,21.68969,0,0,14000
1,112.243874,22.22969,0,0,14000
1,112.403874,21.74969,0,0,14000
1,112.923874,21.82969,0,0,14000
1,112.583874,22.52969,0,0,14000
1,112.863874,22.04969,0,0,14000
1,112.403874,21.76969,0,0,14000
1,112.443874,21.80969,0,0,14000
1,113.163874,22.50969,0,0,14000
1,112.343874,22.06969,0,0,14000
1,112.583874,22.06969,0,0,14000
1,112.203874,22.28969,0,0,14000
1,112.423874,22.14969,0,0,14000
1,112.683874,22.00969,0,0,14000
1,112.383874,21.82969,0,0,14000
1,112.243874,22.24969,0,0,14000
1,112.463874,22.10969,0,0,14000
1,112.923874,21.66969,0,0,14000
1,113.023874,22.72969,0,0,14000
1,112.403874,21.66969,0,0,14000
1,113.043874,22.58969,0,0,14000
1,112.963874,22.26969,0,0,14000
1,112.783874,22.18969,0,0,14000
1,112.623874,22.52969,0,0,14000
1,113.063874,22.18969,0,0,14000
1,112.743874,22.14969,0,0,14000
1,112.803874,21.96969,0,0,14000
1,112.723874,22.10969,0,0,14000
1,113.083874,22.50969,0,0,14000
1,112.483874,21.82969,0,0,14000
1,112.943874,21.72969,0,0,14000
1,112.383874,22.28969,0,0,14000
1,112.903874,21.96969,0,0,14000
1,112.703874,21.96969,0,0,14000
1,112.583874,21.74969,0,0,14000
1,112.803874,21.92969,0,0,14000
1,112.603874,22.06969,0,0,14000
1,112.763874,22.10969,0,0,14000
1,112.483874,21.98969,0,0,14000
1,112.763874,22.04969,0,0,14000
1,112.503874,22.08969,0,0,14000
1,113.183874,22.34969,0,0,14000
1,112.863874,22.64969,0,0,14000
1,112.943874,21.84969,0,0,14000
1,112.963874,22.18969,0,0,14000
1,112.483874,22.52969,0,0,14000
1,112.483874,22.54969,0,0,14000
1,113.043874,22.72969,0,0,14000
1,112.643874,22.50969,0,0,14000
1,112.803874,22.28969,0,0,14000
1,112.623874,22.36969,0,0,14000
1,113.003874,22.42969,0,0,14000
1,112.443874,21.96969,0,0,14000
1,113.063874,21.80969,0,0,14000
1,112.463874,21.56969,0,0,14000
1,112.543874,21.90969,0,0,14000
1,112.783874,22.12969,0,0,14000
1,112.503874,22.34969,0,0,14000
1,112.383874,21.88969,0,0,14000
1,112.863874,22.08969,0,0,14000
1,112.563874,22.62969,0,0,14000
1,112.523874,21.98969,0,0,14000
1,113.003874,21.80969,0,0,14000
1,112.803874,22.58969,0,0,14000
1,112.303874,22.08969,0,0,14000
1,112.923874,21.64969,0,0,14000
1,112.503874,22.10969,0,0,14000
1,112.283874,22.16969,0,0,14000
1,112.463874,21.66969,0,0,14000
1,112.543874,22.20969,0,0,14000
1,112.943874,21.74969,0,0,14000
1,112.623874,21.58969,0,0,14000
1,112.703874,22.36969,0,0,14000
1,112.743874,22.38969,0,0,14000
1,112.143874,22.14969,0,0,14000
1,112.343874,22.20969,0,0,14000
1,112.703874,21.74969,0,0,14000
1,112.383874,21.86969,0,0,14000
1,112.783874,21.76969,0,0,14000
1,113.083874,22.42969,0,0,14000
1,112.543874,22.66969,0,0,14000
1,112.743874,22.64969,0,0,14000
1,112.703874,22.28969,0,0,14000
1,112.623874,22.42969,0,0,14000
1,112.763874,22.30969,0,0,14000
1,112.983874,22.64969,0,0,14000
1,112.863874,22.36969,0,0,14000
1,112.603874,22.32969,0,0,14000
1,112.863874,21.66969,0,0,14000
1,113.123874,22.48969,0,0,14000
1,112.423874,21.80969,0,0,14000
1,112.883874,22.64969,0,0,14000
1,112.403874,21.46969,0,0,14000
1,112.643874,22.62969,0,0,14000
1,112.123874,22.14969,0,0,14000
1,112.563874,21.66969,0,0,14000
1,112.603874,22.28969,0,0,14000
1,113.043874,22.48969,0,0,14000
1,112.403874,22.44969,0,0,14000
1,112.363874,21.68969,0,0,14000
1,112.663874,21.96969,0,0,14000
1,112.963874,22.28969,0,0,14000
1,112.763874,21.66969,0,0,14000
1,112.163874,22.10969,0,0,14000
1,112.583874,22.54969,0,0,14000
1,112.763874,21.82969,0,0,14000
1,112.623874,21.90969,0,0,14000
1,112.083874,22.20969,0,0,14000
1,112.323874,22.24969,0,0,14000
1,112.583874,22.62969,0,0,14000
1,113.063874,22.42969,0,0,14000
1,112.643874,21.88969,0,0,14000
1,112.403874,21.58969,0,0,14000
1,112.863874,22.80969,0,0,14000
1,112.503874,22.06969,0,0,14000
1,112.383874,21.94969,0,0,14000
1,112.883874,22.06969,0,0,14000
1,112.943874,22.54969,0,0,14000
1,113.063874,22.40969,0,0,14000
1,112.783874,21.82969,0,0,14000
1,112.603874,21.66969,0,0,14000
1,112.703874,22.00969,0,0,14000
1,112.743874,21.96969,0,0,14000
1,112.463874,21.96969,0,0,14000
1,112.703874,21.88969,0,0,14000
1,112.843874,21.86969,0,0,14000
1,112.723874,21.88969,0,0,14000
1,112.883874,22.18969,0,0,14000
1,112.503874,21.50969,0,0,14000
1,112.923874,22.28969,0,0,14000
1,112.523874,22.32969,0,0,14000
1,112.903874,21.98969,0,0,14000
1,113.023874,21.86969,0,0,14000
1,112.483874,21.48969,0,0,14000
1,112.883874,22.56969,0,0,14000
1,112.523874,22.68969,0,0,14000
1,112.383874,22.26969,0,0,14000
1,112.723874,21.70969,0,0,14000
1,112.943874,22.52969,0,0,14000
1,112.483874,21.88969,0,0,14000
1,112.823874,22.14969,0,0,14000
1,113.123874,22.36969,0,0,14000
1,112.903874,22.36969,0,0,14000
1,112.343874,21.96969,0,0,14000
1,112.743874,21.80969,0,0,14000
1,113.003874,22.20969,0,0,14000
1,113.163874,22.52969,0,0,14000
1,112.763874,21.94969,0,0,14000
1,112.963874,22.38969,0,0,14000
1,113.023874,22.36969,0,0,14000
1,112.823874,21.96969,0,0,14000
1,112.503874,21.94969,0,0,14000
1,112.763874,21.70969,0,0,14000
1,112.703874,22.34969,0,0,14000
1,112.403874,22.20969,0,0,14000
1,112.743874,21.70969,0,0,14000
1,113.063874,22.48969,0,0,14000
1,112.963874,22.66969,0,0,14000
1,112.903874,22.34969,0,0,14000
1,112.423874,21.52969,0,0,14000
1,112.763874,22.00969,0,0,14000
1,112.863874,22.68969,0,0,14000
1,112.843874,22.50969,0,0,14000
1,112.543874,22.12969,0,0,14000
1,112.403874,21.56969,0,0,14000
1,112.743874,22.26969,0,0,14000
1,112.563874,22.06969,0,0,14000
1,112.363874,21.96969,0,0,14000
1,112.703874,21.86969,0,0,14000
1,112.823874,22.74969,0,0,14000
1,112.943874,21.98969,0,0,14000
1,112.663874,22.00969,0,0,14000
1,112.643874,22.36969,0,0,14000
1,112.923874,21.98969,0,0,14000
1,112.483874,22.14969,0,0,14000
1,112.343874,22.32969,0,0,14000
1,112.803874,22.12969,0,0,14000
1,112.803874,22.18969,0,0,14000
1,112.823874,22.70969,0,0,14000
1,112.483874,22.44969,0,0,14000
1,113.043874,22.66969,0,0,14000
1,112.683874,21.94969,0,0,14000
1,112.763874,22.20969,0,0,14000
1,112.403874,22.52969,0,0,14000
1,113.143874,22.22969,0,0,14000
1,112.783874,21.92969,0,0,14000
1,112.663874,21.66969,0,0,14000
1,112.423874,22.32969,0,0,14000
1,112.703874,22.50969,0,0,14000
1,112.483874,22.12969,0,0,14000
1,113.043874,21.82969,0,0,14000
1,112.263874,22.22969,0,0,14000
1,112.323874,22.12969,0,0,14000
1,113.023874,22.40969,0,0,14000
1,112.523874,21.66969,0,0,14000
1,112.863874,22.14969,0,0,14000
1,112.523874,22.42969,0,0,14000
1,112.623874,22.06969,0,0,14000
1,112.363874,22.32969,0,0,14000
1,112.643874,22.06969,0,0,14000
1,112.823874,21.80969,0,0,14000
1,113.083874,22.48969,0,0,14000
1,112.903874,21.78969,0,0,14000
1,112.363874,22.24969,0,0,14000
1,112.783874,21.88969,0,0,14000
1,112.963874,22.62969,0,0,14000
1,112.183874,22.24969,0,0,14000
1,112.483874,22.20969,0,0,14000
1,113.003874,21.88969,0,0,14000
1,113.003874,22.50969,0,0,14000
1,112.343874,22.02969,0,0,14000
1,112.343874,21.72969,0,0,14000
1,112.283874,22.50969,0,0,14000
1,112.123874,22.16969,0,0,14000
1,113.003874,22.24969,0,0,14000
1,112.183874,22.22969,0,0,14000
1,112.963874,22.22969,0,0,14000
1,112.823874,21.78969,0,0,14000
1,112.783874,22.52969,0,0,14000
1,112.283874,22.38969,0,0,14000
1,112.463874,21.68969,0,0,14000
1,113.043874,21.88969,0,0,14000
1,112.363874,22.52969,0,0,14000
1,112.143874,22.28969,0,0,14000
1,112.723874,21.74969,0,0,14000
1,112.923874,22.62969,0,0,14000
1,112.683874,22.32969,0,0,14000
1,112.403874,22.32969,0,0,14000
1,112.983874,21.88969,0,0,14000
1,112.203874,22.22969,0,0,14000
1,112.143874,22.20969,0,0,14000
1,112.503874,22.52969,0,0,14000
1,112.763874,21.88969,0,0,14000
1,112.563874,22.52969,0,0,14000
1,112.943874,22.80969,0,0,14000
1,112.303874,22.28969,0,0,14000
1,112.543874,22.56969,0,0,14000
1,112.803874,22.26969,0,0,14000
1,113.103874,22.40969,0,0,14000
1,113.023874,22.00969,0,0,14000
1,112.203874,22.14969,0,0,14000
1,112.543874,21.88969,0,0,14000
1,112.843874,21.98969,0,0,14000
1,112.903874,22.68969,0,0,14000
1,112.583874,22.28969,0,0,14000
1,112.423874,22.12969,0,0,14000
1,112.723874,22.06969,0,0,14000
1,113.163874,22.56969,0,0,14000
1,113.183874,22.36969,0,0,14000
1,113.223874,22.40969,0,0,14000
1,112.603874,22.60969,0,0,14000
1,112.543874,22.22969,0,0,14000
1,112.823874,22.10969,0,0,14000
1,112.603874,21.76969,0,0,14000
1,112.943874,21.86969,0,0,14000
1,113.003874,21.86969,0,0,14000
1,112.603874,21.72969,0,0,14000
1,112.963874,21.88969,0,0,14000
1,112.363874,21.60969,0,0,14000
1,113.063874,22.22969,0,0,14000
